JCN,WORKCENTER,JOB_STATUS,ROUTING_LEVEL,EOC,EQUIP_STATUS_CODE,SAFETY_CODE,PRIORITY_CODE,TYPE_AVAILABILITY_CODE,EQUIPMENT,LOCATION,SUMMARY,WHEN_DISCOVERED_DATE,AVAIL_ID,PROBLEM,RECOMMENDATION,DEFERRAL_DATE,DEFERRAL_REASON_CODE,PARTS_ORDERED,SERIAL_NUMBER,SHIPS_FORCE_COMMENTS,MAINTENANCE_TEAM_COMMENTS,COMPLETION_DATE,ACTION_TAKEN_CODE,ACTUAL_SOLUTION,DAYS_SINCE_UPDATE,BLOCK_10,DAYS_OLD
21533ER047257,ER04,2 KILO COMPLETE,3MC,1.0,1,,4,4B,FILTER ROOM 01-7,,FRAYED WIRES IN HUMIDITY BOX,7/1/2019 5:00:00 AM,,"DURING ZONE INSPECTION, IT WAS DISCOVERED THAT THE HUMIDITY CONTROL BOX WIRE IS FRAYED..",SHIP'S FORCE REQUESTS EE03 TO SEAL ALL FRAYED WIRES.,7/2/2019 12:00:00 AM,1,NO,,"BURNETTE, T : 3/15/2020  7:08
JSN STILL VALID AS MAY BE SAFETY DISCREPANCY, WILL VERIFY AND ADD TO T/C LIST AS PRIORITY, RVWD BY CHENG 15MAR20.
******************************************",,5/10/2020 5:00:00 AM,3,COMPLETE,44,,358
21533ER047257,ER04,2 KILO COMPLETE,3MC,1.0,1,,4,4B,FILTER ROOM 01-7,,FRAYED WIRES IN HUMIDITY BOX,7/1/2019 5:00:00 AM,,"DURING ZONE INSPECTION, IT WAS DISCOVERED THAT THE HUMIDITY CONTROL BOX WIRE IS FRAYED..",SHIP'S FORCE REQUESTS EE03 TO SEAL ALL FRAYED WIRES.,7/2/2019 12:00:00 AM,1,NO,,,,5/10/2020 5:00:00 AM,3,COMPLETE,44,,358
21533ER047257,ER04,2 KILO COMPLETE,3MC,1.0,1,,4,4B,FILTER ROOM 01-7,,FRAYED WIRES IN HUMIDITY BOX,7/1/2019 5:00:00 AM,,"DURING ZONE INSPECTION, IT WAS DISCOVERED THAT THE HUMIDITY CONTROL BOX WIRE IS FRAYED..",SHIP'S FORCE REQUESTS EE03 TO SEAL ALL FRAYED WIRES.,7/2/2019 12:00:00 AM,1,NO,,"BURNETTE, T : 4/15/2020  7:08
JSN STILL VALID AS MAY BE SAFETY DISCREPANCY, WILL VERIFY AND ADD TO T/C LIST AS PRIORITY, RVWD BY CHENG 15MAR20.
******************************************",,5/10/2020 5:00:00 AM,3,COMPLETE,44,,358
21533ER047257,ER04,2 KILO COMPLETE,3MC,1.0,1,,4,4B,FILTER ROOM 01-7,,FRAYED WIRES IN HUMIDITY BOX,7/1/2019 5:00:00 AM,,"DURING ZONE INSPECTION, IT WAS DISCOVERED THAT THE HUMIDITY CONTROL BOX WIRE IS FRAYED..",SHIP'S FORCE REQUESTS EE03 TO SEAL ALL FRAYED WIRES.,7/2/2019 12:00:00 AM,1,NO,,,,5/10/2020 5:00:00 AM,3,COMPLETE,44,,358
21533ER047257,ER04,2 KILO COMPLETE,3MC,1.0,1,,4,4B,FILTER ROOM 01-7,,FRAYED WIRES IN HUMIDITY BOX,7/1/2019 5:00:00 AM,,"DURING ZONE INSPECTION, IT WAS DISCOVERED THAT THE HUMIDITY CONTROL BOX WIRE IS FRAYED..",SHIP'S FORCE REQUESTS EE03 TO SEAL ALL FRAYED WIRES.,7/2/2019 12:00:00 AM,1,NO,,"BURNETTE, T : 5/15/2020  7:08
JSN STILL VALID AS MAY BE SAFETY DISCREPANCY, WILL VERIFY AND ADD TO T/C LIST AS PRIORITY, RVWD BY CHENG 15MAR20.
******************************************",,5/10/2020 5:00:00 AM,3,COMPLETE,44,,358
21533ER047257,ER04,2 KILO COMPLETE,3MC,1.0,1,,4,4B,FILTER ROOM 01-7,,FRAYED WIRES IN HUMIDITY BOX,7/1/2019 5:00:00 AM,,"DURING ZONE INSPECTION, IT WAS DISCOVERED THAT THE HUMIDITY CONTROL BOX WIRE IS FRAYED..",SHIP'S FORCE REQUESTS EE03 TO SEAL ALL FRAYED WIRES.,7/2/2019 12:00:00 AM,1,NO,,,,5/10/2020 5:00:00 AM,3,COMPLETE,44,,358
21533ER047257,ER04,2 KILO COMPLETE,3MC,1.0,1,,4,4B,FILTER ROOM 01-7,,FRAYED WIRES IN HUMIDITY BOX,7/1/2019 5:00:00 AM,,"DURING ZONE INSPECTION, IT WAS DISCOVERED THAT THE HUMIDITY CONTROL BOX WIRE IS FRAYED..",SHIP'S FORCE REQUESTS EE03 TO SEAL ALL FRAYED WIRES.,7/2/2019 12:00:00 AM,1,NO,,"BURNETTE, T : 6/15/2020  7:08
JSN STILL VALID AS MAY BE SAFETY DISCREPANCY, WILL VERIFY AND ADD TO T/C LIST AS PRIORITY, RVWD BY CHENG 15MAR20.
******************************************",,5/10/2020 5:00:00 AM,3,COMPLETE,44,,358
21533ER047257,ER04,2 KILO COMPLETE,3MC,1.0,1,,4,4B,FILTER ROOM 01-7,,FRAYED WIRES IN HUMIDITY BOX,7/1/2019 5:00:00 AM,,"DURING ZONE INSPECTION, IT WAS DISCOVERED THAT THE HUMIDITY CONTROL BOX WIRE IS FRAYED..",SHIP'S FORCE REQUESTS EE03 TO SEAL ALL FRAYED WIRES.,7/2/2019 12:00:00 AM,1,NO,,,,5/10/2020 5:00:00 AM,3,COMPLETE,44,,358
21533ER047257,ER04,2 KILO COMPLETE,3MC,1.0,1,,4,4B,FILTER ROOM 01-7,,FRAYED WIRES IN HUMIDITY BOX,7/1/2019 5:00:00 AM,,"DURING ZONE INSPECTION, IT WAS DISCOVERED THAT THE HUMIDITY CONTROL BOX WIRE IS FRAYED..",SHIP'S FORCE REQUESTS EE03 TO SEAL ALL FRAYED WIRES.,7/2/2019 12:00:00 AM,1,NO,,,,5/10/2020 5:00:00 AM,3,COMPLETE,44,,358
21533ER047257,ER04,2 KILO COMPLETE,3MC,1.0,1,,4,4B,FILTER ROOM 01-7,,FRAYED WIRES IN HUMIDITY BOX,7/1/2019 5:00:00 AM,,"DURING ZONE INSPECTION, IT WAS DISCOVERED THAT THE HUMIDITY CONTROL BOX WIRE IS FRAYED..",SHIP'S FORCE REQUESTS EE03 TO SEAL ALL FRAYED WIRES.,7/2/2019 12:00:00 AM,1,NO,,"BURNETTE, T : 3/15/2020  7:08
JSN STILL VALID AS MAY BE SAFETY DISCREPANCY, WILL VERIFY AND ADD TO T/C LIST AS PRIORITY, RVWD BY CHENG 15MAR20.
******************************************",,5/10/2020 5:00:00 AM,3,COMPLETE,44,,358
21533ER047257,ER04,2 KILO COMPLETE,3MC,1.0,1,,4,4B,FILTER ROOM 01-7,,FRAYED WIRES IN HUMIDITY BOX,7/1/2019 5:00:00 AM,,"DURING ZONE INSPECTION, IT WAS DISCOVERED THAT THE HUMIDITY CONTROL BOX WIRE IS FRAYED..",SHIP'S FORCE REQUESTS EE03 TO SEAL ALL FRAYED WIRES.,7/2/2019 12:00:00 AM,1,NO,,,,5/10/2020 5:00:00 AM,3,COMPLETE,44,,358
21533ER047257,ER04,2 KILO COMPLETE,3MC,1.0,1,,4,4B,FILTER ROOM 01-7,,FRAYED WIRES IN HUMIDITY BOX,7/1/2019 5:00:00 AM,,"DURING ZONE INSPECTION, IT WAS DISCOVERED THAT THE HUMIDITY CONTROL BOX WIRE IS FRAYED..",SHIP'S FORCE REQUESTS EE03 TO SEAL ALL FRAYED WIRES.,7/2/2019 12:00:00 AM,1,NO,,"BURNETTE, T : 4/15/2020  7:08
JSN STILL VALID AS MAY BE SAFETY DISCREPANCY, WILL VERIFY AND ADD TO T/C LIST AS PRIORITY, RVWD BY CHENG 15MAR20.
******************************************",,5/10/2020 5:00:00 AM,3,COMPLETE,44,,358
21533ER047257,ER04,2 KILO COMPLETE,3MC,1.0,1,,4,4B,FILTER ROOM 01-7,,FRAYED WIRES IN HUMIDITY BOX,7/1/2019 5:00:00 AM,,"DURING ZONE INSPECTION, IT WAS DISCOVERED THAT THE HUMIDITY CONTROL BOX WIRE IS FRAYED..",SHIP'S FORCE REQUESTS EE03 TO SEAL ALL FRAYED WIRES.,7/2/2019 12:00:00 AM,1,NO,,,,5/10/2020 5:00:00 AM,3,COMPLETE,44,,358
21533ER047257,ER04,2 KILO COMPLETE,3MC,1.0,1,,4,4B,FILTER ROOM 01-7,,FRAYED WIRES IN HUMIDITY BOX,7/1/2019 5:00:00 AM,,"DURING ZONE INSPECTION, IT WAS DISCOVERED THAT THE HUMIDITY CONTROL BOX WIRE IS FRAYED..",SHIP'S FORCE REQUESTS EE03 TO SEAL ALL FRAYED WIRES.,7/2/2019 12:00:00 AM,1,NO,,"BURNETTE, T : 5/15/2020  7:08
JSN STILL VALID AS MAY BE SAFETY DISCREPANCY, WILL VERIFY AND ADD TO T/C LIST AS PRIORITY, RVWD BY CHENG 15MAR20.
******************************************",,5/10/2020 5:00:00 AM,3,COMPLETE,44,,358
21533ER047257,ER04,2 KILO COMPLETE,3MC,1.0,1,,4,4B,FILTER ROOM 01-7,,FRAYED WIRES IN HUMIDITY BOX,7/1/2019 5:00:00 AM,,"DURING ZONE INSPECTION, IT WAS DISCOVERED THAT THE HUMIDITY CONTROL BOX WIRE IS FRAYED..",SHIP'S FORCE REQUESTS EE03 TO SEAL ALL FRAYED WIRES.,7/2/2019 12:00:00 AM,1,NO,,,,5/10/2020 5:00:00 AM,3,COMPLETE,44,,358
21533ER047257,ER04,2 KILO COMPLETE,3MC,1.0,1,,4,4B,FILTER ROOM 01-7,,FRAYED WIRES IN HUMIDITY BOX,7/1/2019 5:00:00 AM,,"DURING ZONE INSPECTION, IT WAS DISCOVERED THAT THE HUMIDITY CONTROL BOX WIRE IS FRAYED..",SHIP'S FORCE REQUESTS EE03 TO SEAL ALL FRAYED WIRES.,7/2/2019 12:00:00 AM,1,NO,,"BURNETTE, T : 6/15/2020  7:08
JSN STILL VALID AS MAY BE SAFETY DISCREPANCY, WILL VERIFY AND ADD TO T/C LIST AS PRIORITY, RVWD BY CHENG 15MAR20.
******************************************",,5/10/2020 5:00:00 AM,3,COMPLETE,44,,358
21533ER047257,ER04,2 KILO COMPLETE,3MC,1.0,1,,4,4B,FILTER ROOM 01-7,,FRAYED WIRES IN HUMIDITY BOX,7/1/2019 5:00:00 AM,,"DURING ZONE INSPECTION, IT WAS DISCOVERED THAT THE HUMIDITY CONTROL BOX WIRE IS FRAYED..",SHIP'S FORCE REQUESTS EE03 TO SEAL ALL FRAYED WIRES.,7/2/2019 12:00:00 AM,1,NO,,,,5/10/2020 5:00:00 AM,3,COMPLETE,44,,358
21533ER047257,ER04,2 KILO COMPLETE,3MC,1.0,1,,4,4B,FILTER ROOM 01-7,,FRAYED WIRES IN HUMIDITY BOX,7/1/2019 5:00:00 AM,,"DURING ZONE INSPECTION, IT WAS DISCOVERED THAT THE HUMIDITY CONTROL BOX WIRE IS FRAYED..",SHIP'S FORCE REQUESTS EE03 TO SEAL ALL FRAYED WIRES.,7/2/2019 12:00:00 AM,1,NO,,,,5/10/2020 5:00:00 AM,3,COMPLETE,44,,358
